product_slug,sku,name,description,short_description,category_slug,brand_slug,retail_price,retail_sale_price,wholesale_price,wholesale_sale_price,stock,images,attributes
hero-guardian,sku_ACT-FIG-01-R,"Hero Guardian","A premium 6-inch scale action figure featuring 24 points of articulation and authentic detailing. Includes signature weapon accessories.","Premium 6-inch Guardian Figure",action-figures,technova,350.00,299.00,180.00,150.00,45,"SKU_0000001.jpg,SKU_0000012.jpg","{""color"": ""Red"", ""material"": ""Vinyl""}"
hero-guardian,sku_ACT-FIG-01-B,"Hero Guardian","A premium 6-inch scale action figure featuring 24 points of articulation and authentic detailing. Includes signature weapon accessories.","Premium 6-inch Guardian Figure",action-figures,technova,350.00,299.00,180.00,150.00,30,"SKU_0000002.jpg","{""color"": ""Blue"", ""material"": ""Vinyl""}"
hero-guardian,sku_ACT-FIG-01-G,"Hero Guardian","A premium 6-inch scale action figure featuring 24 points of articulation and authentic detailing. Includes signature weapon accessories.","Premium 6-inch Guardian Figure",action-figures,technova,350.00,,180.00,,20,"SKU_0000003.jpg","{""color"": ""Green"", ""material"": ""Vinyl""}"
hero-guardian,sku_ACT-FIG-01-Y,"Hero Guardian","A premium 6-inch scale action figure featuring 24 points of articulation and authentic detailing. Includes signature weapon accessories.","Premium 6-inch Guardian Figure",action-figures,technova,350.00,,180.00,,15,"SKU_0000004.jpg","{""color"": ""Yellow"", ""material"": ""Vinyl""}"
hero-guardian,sku_ACT-FIG-01-P,"Hero Guardian","A premium 6-inch scale action figure featuring 24 points of articulation and authentic detailing. Includes signature weapon accessories.","Premium 6-inch Guardian Figure",action-figures,technova,350.00,299.00,180.00,150.00,10,"SKU_0000005.jpg,SKU_0000021.jpg","{""color"": ""Purple"", ""material"": ""Vinyl""}"
starship-exp,sku_BLD-SET-99-S,"Starship Explorer","Interlocking building block set that allows you to construct a detailed scout ship. Compatible with all major brands.","Starship Building Set",building-sets,stellarbricks,599.00,450.00,310.00,280.00,15,"SKU_0000006.jpg,SKU_0000015.jpg","{""pieces"": ""500"", ""theme"": ""Space""}"
starship-exp,sku_BLD-SET-99-L,"Starship Explorer","Interlocking building block set that allows you to construct a detailed scout ship. Compatible with all major brands.","Starship Building Set",building-sets,stellarbricks,1200.00,999.00,650.00,550.00,5,"SKU_0000007.jpg,SKU_0000016.jpg","{""pieces"": ""2000"", ""theme"": ""Space""}"
swift-drifter,sku_RC-CAR-GT-01,"Swift Drifter GT","High-speed RC drifting car with 2.4GHz control and rechargeable Li-Po battery. Designed for indoor and outdoor track racing.","1:10 Scale Drift Car",remote-control,swiftracer,850.00,699.00,420.00,380.00,12,"SKU_0000008.jpg","{""scale"": ""1:10"", ""battery"": ""Li-Po""}"
logicbot-alpha,sku_EDU-BOT-01,"LogicBot Alpha","Introduction to robotics kit. Program your robot to follow lines, avoid obstacles, and dance using a simple drag-and-drop interface.","Programmable Robot Kit",educational-toys,technova,1500.00,1200.00,800.00,700.00,20,"SKU_0000009.jpg,SKU_0000018.jpg","{""age"": ""8+"", ""language"": ""Python""}"
logicbot-alpha,sku_EDU-BOT-02,"LogicBot Alpha","Introduction to robotics kit. Program your robot to follow lines, avoid obstacles, and dance using a simple drag-and-drop interface.","Programmable Robot Kit",educational-toys,technova,1800.00,,950.00,,10,"SKU_0000010.jpg","{""age"": ""10+"", ""language"": ""C++""}"
dragon-quest,sku_BRD-GM-01,"Dragon Quest","An immersive tabletop adventure for 2-4 players. Brave the dungeons, defeat the dragon, and claim the treasure.","Fantasy Board Game",board-games,questgames,450.00,380.00,210.00,190.00,50,"SKU_0000011.jpg,SKU_0000019.jpg","{""players"": ""2-4"", ""time"": ""60min""}"
